ejgrants_0
OBJECTID,Announcement Date,Award Date,Project Title,Project Description,Recipient,Funding Source,Type of Award,Funding Status,Federal Award Identification Number,Award Amount,Location,Latitude,Longitude,Zip Code,City,County,State,Assistance Listing, Program,Investment Category,Website Url,Announcement Url,Data Extract Date,x,y
244,,09-11-2024,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,"This action approves an award in the amount of $500,000 to provide funding to the Lowcountry Alliance for Model Communities (LAMC  The recipient will conduct robust engagement, deliver technical assistance and community-based disaster risk reduction training and capacity building to EJ communities, as well as community-participatory research related to natural and man-made hazards with the long-term goal of establishing and growing a regional network of Resilience In the South East (RISE) Fellows (Citizen Resilience Planners) to increase community capacity to inform local response to local resilience needs. As part of the project, LAMC plans to hold 9 training events (Training, Education, Resilience Planning and Response, Local Action 

Activities:
The activities include creating and deploying outreach and marketing materials for the recruitment of 16 community-based organizations across Region IV for the RISE program. LAMC will then conduct a series of 9 facilitated EJAC trainings in year one of the project, and develop a model for Collaborative Problem-Solving that utilizes community-led data collection and monitoring of environmental hazards and public health impacts. Year two of the project enacts 12 facilitated EJSTRONG monthly trainings, EJSTRONG Field Practicums, and informing and evaluating the local resilience and hazard mitigation planning efforts. Year three s activities include the formation of a RISE Regional Network, the development of the Resilience Hub Framework called RISE Mutual Aid Network (MAN), and training on developing community data collection and monitoring network, led by a subaward partner. Additionally the end of each project year contains an evaluation of the project. 

Outcomes:
The anticipated deliverables include EJAC training objectives, EJSTRONG training objectives, EJSTRONG field practicum objectives, the establishment of the RISE Fellow Network, a Health Impact Assessment and analysis, as well at the framework for the RISE Playbook Story Map. The expected outcomes include increased community capacity, community-focused resilience plans, community leadership development, collection of local data to inform resilience efforts, establishment of the RISE Fellow Network, local collective resilience monitoring and evaluation, increased awareness of community directed resilience planning, integration of the RISE MAN framework into action in resilience plans by RISE Fellows, leveraging resources and community-based resilience plans adopted into local municipal planning, and the establishment of local resilience hubs to conduct effective disaster response and management. The intended beneficiaries include Environmental Justice communities throughout the Southeast primarily targeting organizations and communities within EPA Region IV (Georgia, Kentucky, Tennessee, North Carolina, South Carolina, Alabama, Mississippi, and Florida) states.

Subrecipient:
Activities implemented through subawards include establishing a model for community-led hazard monitoring and community-based Health Impact Assessments that
inform and evaluate local resilience and hazard mitigation planning efforts, the development of a curriculum based on this model to be incorporated into the training series, 
assisting LAMC with developing and facilitating training curriculum for other communities to implement similar community-led research and monitoring programs, and developing the QAPP for all monitoring activities taking place during the grant period.",LOWCOUNTRY ALLIANCE FOR MODEL COMMUNITIES,IRA,Primary,Awarded,03D03524,500000,South Carolina,33.87775,-80.864586,,,,SC,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-80.864586,33.8777499991265
245,,12-12-2024,Inflation Reduction Act - Environmental Justice Thriving Communities,"This agreement provides funding to Social and Environmental Entrepreneurs (S.E.E  The recipient is a Regional Grantmaker that will receive $10 million in supplemental funds to support Quality Assurance compliance, Human Subjects Research, outreach and additional support in hard-to-reach areas. The supplemental funding is an additional 20% of the Grantmakers total funding of $50 million. 

Activities:
The activities in include SEE and their partners expanding their reach and impact, providing essential resources to address environmental justice issues across Region 9. Of the total supplemental funding, SEE will allocate a portion for administrative activities and the majority of the funds directed toward subgrants for community-based nonprofits and eligible organizations. SEE will ensure program execution and dedicate most of the resources to subgrants that will directly fund eligible groups. 

The funding will provide critical support to subgrantees in several targeted areas, reducing administrative burdens and enhancing project outcomes. SEE will increase resources for quality assurance compliance, by providing additional staff, consulting support, and training to streamline reporting and ensure compliance with federal requirements, which will enable subgrantees to focus on delivering impactful projects rather than navigating complex administrative obstacles. Similarly, resources dedicated to Human Subjects Research will alleviate challenges for subgrantees by offering expanded training, resource budgets, and staff support. These enhancements will ensure that all projects adhere to ethical and legal standards while remaining accessible for grantees with limited capacity.  

With these funds, SEE will expand efforts to host both webinars and in-person workshops as integral components of the outreach strategy. SEE will also translate outreach materials as necessary to ensure resources are accessible to a broader audience. Beyond outreach, SEE is committed to providing ongoing support to subgrantees after they receive regrants. This can include closeout assistance and additional funding for management to ensure successful project completion. Enhanced support for construction and crosscutters compliance will further reduce reporting burdens, with staff and consulting resources dedicated to meeting federal requirements such as Davis-Bacon and Build America, Buy America (BABA 

Outcomes:
The main anticipated deliverables of this funding are obtaining skills personnel to support project logistics, managing payments for subawardees, and the design and implementation of a targeted outreach strategy.  These roles will enable SEE to select and award subaward applicants in disadvantaged and hard-to-reach areas. In addition, another significant deliverable will be providing Quality Assurance Technical Support to ensure Quality Assurance activities are operating in compliance with EPA requirements and subawardees are receiving assistance in developing QAPPs.

Some expected outcomes include increased outreach and grant funding to underserved communities, improved Quality Assurance management and QAPP development, increased access to funding for proposed projects, and disadvantaged communities having equitable access to funding for environmental justice projects identified by community residents.

The intended beneficiaries are organizations that serve disadvantaged communities and the communities themselves that will benefit from meaningful involvement and subgrant project resources.

Subrecipient:
SEE will compete and evaluate applications received for Tier 1  and ndash; 3 subgrants. Selected applicants will receive funding from SEE for Assessment, Planning, and Project Development projects. SEE also has four Statutory Partners that will receive subawards to assist in designing and implementing the Tier 1  and ndash; 3 subgrant program.","SOCIAL AND ENVIRONMENTAL ENTREPRENEURS (SEE), INC.",IRA,Primary,Awarded,98T97502,52000000,"Calabasas, CA",34.1566,-118.6403,91302,Calabasas,Los Angeles County,CA,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,-118.6403,34.156599999123
246,,09-21-2024,MTO EJCPS 2024,"This agreement provides funding under the Inflation Reduction Act (IRA) to Metropolitan Tenants Organization (MTO  The recipient will train physicians, community health workers, and residents to identify healthy housing hazards and to document the problems in order to take action to abate them. MTO will collaborate with community residents to inspect units and negotiate with owners to resolve issues.

Activities:
The activities include creating a referral program for medical providers for tenants needing assistance; promoting and facilitating medical professionals and rsquo; workshops; facilitating trainings of CHWs; performing in home inspections; and assisting tenants with developing a home improvement action plan.

Outcomes:
The anticipated deliverables include hosting two Healthy Homes Workshops for medical providers; recruiting 40 tenants to participate in home inspections; hosting three healthy homes trainings for CHWs; organizing public Healthy Housing forums; developing 12 social media posts.

The expected outcomes include fewer kids returning to hospital or doctor s offices dur to unhealthy homes; increased support for tenants; improved partnership between medical providers and housing organizations; improved process for referring tenants with substandard housing to appropriate agencies; increased public awareness of housing hazards.
The intended beneficiaries include disadvantaged community members in Chicago s neighborhoods with the highest rates of adult asthma and childhood lead poisoning.

Subrecipient:
The Northwest Center will provide a team of a team of Community Health Workers to educate patients about healthy housing, assist families with identifying home-based health hazards, and make referrals to MTO to assist with hazard abatement and housing stability issues. Health and Medicine Policy Research Group will assist with outreach to medical providers throughout the Chicago area, social media and other communications promoting the program, building relationships with other stakeholders such as governmental and academic bodies, evaluating the program, and promoting long-term policy changes. The Lawyers Center for Better Housing will assist with reviewing communications between landlords and tenants, providing advice about legal issues that may arise and providing limited legal representation to renters.",METROPOLITAN TENANTS ORGANIZATION,IRA,Primary,Awarded,0E+00,500000,"Chicago, IL",41.880337,-87.75748,60644,Chicago,Cook County,IL,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-87.75748,41.8803369990622
247,,06-25-2024,Inflation Reduction Act &ndash; Environmental Justice Collaborative Problem-Solving,"This agreement provides funding under the Inflation Reduction Act (IRA) to West Oakland Environmental Indicators Project (WOEIP   The recipient will work long-term partners Bay Area Air Quality Management District (BAAQMD), California Air Resource Board (CARB), UC Berkeley, and Environmental Defense Fund (EDF   They are proposing a collaborative project that directly supports the existing West Oakland Community Action Plan (WOCAP) process by developing and implementing a performance measurement strategy addressing WOCAP s core pillars: reducing emissions, reducing exposure, and improving health and environmental equity. The collaborative, the WOCAP Steering Committee, and West Oakland residents will conduct a participatory process to accomplish these goals. 

This assistance agreement provides full federal funding in the amount of $500,000. Preaward costs are approved back to 04/01/2024.





Activities:
The activities include in year 1 to define methodologies that accurately and appropriately measure concentration, exposure, and community equity metrics related to the West Oakland Community Action Plan (WOCAP) strategies, including an implementation plan for a community-owned air pollution monitoring network to collect data on hyperlocal pollution concentrations. In years 2-3, they will deploy the monitoring network, conduct data analysis and community reporting, and use this data in collaboration with the West Oakland Community Action Plan (WOCAP) Steering Committee and broader West Oakland community to continuously inform implementation of the West Oakland Community Action Plan (WOCAP) strategies in a manner that embodies the EPA s Collaborative problem-solving process.

Outcomes:
The anticipated deliverables include include historical documentation capturing the activities, content, and learnings from working sessions, participatory workshops, and outreach. Documented measures and methodologies for understanding air pollution concentrations, exposures, and equity impacts. Summaries and reports of data analysis and modeling, including comparisons, impact progress reports, and learnings. Community-centric content voicing the community and rsquo;s lived experience. A community-led air quality monitoring system throughout West Oakland, maintained by trained community scientists.

The expected outcomes are to develop a set of indicators of progress towards West Oakland Community Action Plan (WOCAP) emission and exposure reduction and equity targets, and define the metrics used to evaluate these indicators. Develop a detailed monitoring implementation plan (including a Quality Assurance Project Plan) for a community-managed network of continuous air monitors to measure hyperlocal air pollution concentrations across the seven West Oakland Community Action Plan (WOCAP) impact zones and potentially other relevant locations in West Oakland. Activities will focus on implementation of the monitoring plan, and initial iteration on analysis and reporting of collected data.

The intended beneficiaries include communities of West Oakland, California 


Subrecipient:
No subawards are included in this assistance agreement.",WEST OAKLAND ENVIRONMENTAL INDICATORS PROJECT,IRA,Primary,Awarded,98T88601,500000,"Oakland, CA",37.808132,-122.29829,94607,Oakland,Alameda County,CA,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-122.29829,37.808131999086
248,,01-07-2025,Inflation Reduction Act &ndash; Environmental and Climate Justice,"This agreement provides funding under the Inflation Reduction Act (IRA) to The Santa Ynez Band of Chumash Indians. Specifically, the project aims to enhance climate resilience, environmental sustainability and community capacity along California s Gaviota Coast.  The work includes restoring 214 acres of degraded land through regenerative farming, native plant restoration, and composting while implementing green infrastructure to reduce pollution and manage stormwater. A solar microgrid and a community resilience hub will be developed to ensure energy independence and provide a central space for education, disaster preparedness, and resource distribution. Through workshops, workforce training, community engagement, as well as the aspects previously mentioned, the project integrates traditional Chumash ecological knowledge to address environmental challenges, such as greenhouse gas emissions, other air pollutants, water quality, and building long-term resilience for disadvantaged communities. 

This assistance agreement provides full federal funding in the amount of $19,993,324.00. See terms and conditions.


Activities:
The activities include restoration of 214 acres of degraded land, including implementation of rain gardens, catch basins, and other water management infrastructure, development of regenerative farming on up to 20 acres, adapt portions of the land for culturally relevant agriculture, Installation of up to 0.5 MW of solar panels, installation of battery backup, grid interconnection and smart metering system, installation of charging units for emergency and participant use. Activities will also include construction of sustainable hub building surrounded by green infrastructure, hosting community education events (SYBCI monthly, Nearby Community Monthly), hosting workforce development courses, training of community emergency leaders, training community environmental advocate, providing emergency services.


Outcomes:
The anticipated deliverables include water quality tests, educational materials from workforce development programs regarding agriculture, and disaster preparedness materials, as well as other environmental quality data. 

The expected outcomes include reduction in water runoff, increased biodiversity, increase local food sources, increase resilience of water consumption and availability, Increased access to spiritual and medical plant species, Increased skills and awareness of regenerative agriculture and resilient ecosystems, Reduction in grid electricity
demand, Increased reliability of local electrical systems, Availability during electrical outages, Increased community advocates present in resilience planning, Increase access to shelter during extreme weather events, Increase community preparedness training, Distribute information and other resources for preparedness and developing green infrastructure at home.

The intended beneficiaries are disadvantaged communities along the Gaviota coast, it is also important to note that many Chumash people live in the specified area. 



Subrecipient:
The sub-awardee will perform restoration of 214 acres of degraded land on the Ranch site, including development of regenerative agriculture on 20 acres. This work will also include construction of green infrastructure such as rain gardens, catch basins and other water management infrastructure. Dos Pueblos Institute, the sub-awardee, will also install a micro-grid on the land, and create a community resilience hub.",SANTA YNEZ BAND OF MISSION INDIANS,IRA,Primary,Awarded,97T31701,19993324,"Goleta, CA",34.4942,-120.04669,93117,,Santa Barbara County,CA,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-120.04669,34.494199999119
249,,11-26-2024,Environmental and Climate Justice Block Grant Program,"This agreement provides funding under the Inflation Reduction Act (IRA) to the nonprofit organization Day One, who are based in the San Gabriel Valley. Specifically, the project will develop and implement green infrastructure, clean water infrastructure, transportation options for preventing air pollution, energy efficient and healthy housing and buildings, and pollution management and reduction strategies.

This assistance agreement provides Federal funding in the amount of $20,452,614.


Activities:
The activities include planting trees in parkways and public places, planting greener schoolyards with composting, rain gardens, and native plants, promoting electric family and cargo bike use and bicycle repair stations, installing solar panels and induction stoves in homes, installing water refill stations, and building rain gardens and a multi-benefit stormwater capture system.


Outcomes:
The anticipated deliverables include 1,000 trees planted in public areas, 1,500 distributed fruit trees, 10 greener public school yards with native plants, composting, and rain gardens, 300 electric family/cargo bikes, 30 bike repair stations, 30 home solar energy setups, 22 cool roofs to reduce air temperature, 60 induction stoves, 60 clean water refill stations, 60 rain gardens, and a multi-benefit stormwater capture system for the green streets Merced Avenue Greenway, and 12 detailed quarterly reports that will document both quantitative and qualitative measures of each Climate Action Strategy and project.

The expected outcomes include climate and public health enhancement, extreme heat mitigation, reduced greenhouse gas emissions, cleaner outdoor and indoor air, reduced pollution exposure to students and low-income residents, cleaner water, reduced water usage, reduced flood risk, reduced landfill waste and habitat pollution, pollinator protection, more accessible streets in urban areas, and increased knowledge of climate resilience in the community.

The intended beneficiaries are disadvantaged communities.


Subrecipient:
ActiveSGV will co-lead Community Engagement Plan implementation, coordinate E-family bike activities, install residential rain gardens, and create bike repair stations at public schools. The Council for Watershed Health will construct a nature-based, multi-benefit greenway project including stormwater capture, native plants, and pedestrian/bikeways. TreePeople will conduct the tree planting program to plant 2,500 trees. Sustainable Claremont will implement Schoolyard Greening (on-site composting, rain gardens, tree planting) for at least 10 public schools. GRID Alternatives will implement residential solar PV and battery storage and cool roofs.",do1729 - DAY ONE,IRA,Primary,Awarded,97T18001,20452614,"Los Angeles County, CA",34.1964,-118.26186,,,Los Angeles County,CA,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-118.26186,34.1963999991225
250,,11-25-2024,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,"This assistance agreement provides Federal funding  to the Council for Watershed Health (CWH   Specifically, the recipient will expand the capacity of ReDesign LA Community Based Organization (CBO) and Tribal partners to mentor seven new mentees working in underserved communities.  Council for Watershed Health (CWH) and seven subawardees, six CBOs and one Tribe, known as ReDesignLA mentors, will guide new mentees through a community needs assessment, community engagement project identification process, partnership development, and funding applications for initial project design. Once fully funded and implemented, projects developed by mentees through ReDesign LA will result in environmental and public health impacts such as the reduction of localized flooding, increase in stormwater capture, improved water quality, and increased green space. Another important result of the ReDesign LA model is the built capacity of organizations and community leaders embedded within underserved communities across the Greater LA Region. Underserved communities start to be equitably represented in environmental and public health infrastructure solutions when they have representatives and local organizations that are skilled at navigating complicated infrastructure funding processes; advocating for multi-benefit elements within projects; ensuring projects represent 3 community needs and engagement is funded through every stage of project development; and serving on decision making bodies.

This assistance agreement provides Federal funding in the amount of $500,000.


Activities:
Expanding the capacity of ReDesign LA community based organizations (CBOs) and Tribal partners to work in underserved communities across the Los Angeles Region. By scaling up ReDesign LA and rsquo;s model, ReDesign LA will fund seven interested CBOs and Tribes in the Greater LA Region to support community-led green infrastructure and climate resiliency projects in underserved communities and a deep bench of climate and water community leaders. Growing the capacity of ReDesign LA will allow more CBOs and Tribes in the Greater LA Region to gain sought-after expertise and ensure a broader number of underserved communities are represented in regional infrastructure efforts. 
With EJ CPS funding, Council for Watershed Health and six Community-Based Organizations (CBOs) and one Tribe (seven ReDesign LA mentors) will perform the following activities: 
Activty 1: Build capacity and trust within ReDesign LA Monthly ReDesign LA Cohort Meetings.  CWH will convene monthly cohort meetings. Cohort meetings result in a co-learning space that supports ReDesign LA CBOs and Tribal partners throughout their project identification and development process. Cohort meetings also provide a valuable opportunity for trust-building among participants.  Resource Sharing CWH and mentors will use interactive mapping tools and resources available on the ReDesign LA website.  
Activity 2: Project Planning in Their Communities of Focus Outreach and Engagement Events: Mentors will carry out outreach and engagement events in their Communities of Focus by offering lessons learned, educational tools, and event support.  Project opportunities are identified through community outreach and engagement events that individual CBO and Tribal partners host in their Communities of Focus; tabling at various regional events relevant to their Communities of Focus; and through project tours.  
Activity 3: Identify and Engage Project Partners. Project Development.Activity 4: Project Development. Activity 5: Competitive Project Proposal. Activity 6: Project Management and Administration. 


Outcomes:
The anticipated deliverables includes Council for Watershed Health and rsquo;s (CWH) mission, which is to advance the health and sustainability of our region and rsquo;s rivers, streams, and habitats in both natural areas and urban neighborhoods. CWH utilizes a mentor-mentee model of technical assistance and",COUNCIL FOR WATERSHED HEALTH,IRA,Primary,Awarded,98T88501,500000,"Los Angeles County, CA",34.1964,-118.26186,,,Los Angeles County,CA,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-118.26186,34.1963999991225
251,,12-11-2024,InterTribal Lake Winnebago Mayom ~Wild Rice ~ Revitalization Project,"This agreement provides funding under the Inflation Reduction Act (IRA) to The Board of Regents of the University of Wisconsin System.  Specifically, the project will interrupt and redress systemic and long-standing environmental injustices (i.e., wetlands degradation and the loss of Wild Rice) by bolstering the capacity of Tribal communities to address wetland degradation and the loss of Mayom through Traditional Ecological methods and increased participation in governance.

Activities:
The activities include building capacity within Brothertown and other Tribes in the watershed and western Great Lakes to participate in water and wetland governance, integrating environmental data from mainstream scientific methods, including Water, sediment, and Wild Rice monitoring data, with the Traditional Ecological Knowledge (TEK) of our advisors and participants, support and host traditional Wild Rice stewardship, harvesting, and processing.

Outcomes:
The anticipated deliverables include having at least 50 community members participate in cultural revitalization events, 20 community members participating in listening sessions, 4 citizen Wild Rice monitors complete training, 3 project network meetings, completing a habitat suitability assessment of potential Wild Rice sites in Lake Winnebago tributaries, completing the first round of seeding in two of these tributaries, and for the pilot Mayom TEK and Governance Gathering to have at least 4 and eventually all 12 Tribes in the Winnebago Watershed participate. The expected outcomes include establishing a wetland conservation governance pilot led by Brothertown Indian Nation and other Tribal leaders, documenting and sharing policy recommendations from a Tribally-led Wild Rice stewardship network so that they can be used in environmental policy decision-making, establishing a TEK-informed Wild Rice conservation co-management policy with the Wisconsin Department of Natural Resources, extending our citizen monitoring program to involve students and local community members in water quality measurements and Wild Rice monitoring, author an article on TEK for Wild Rice Ecology and Governance (co-authored by Tribal and University partners), support environmental studies students from the UW and ndash;Madison and interns from the Menominee Nation and UW and ndash;Oshkosh, and support community-building and Wild Rice stewardship by hosting cultural events. The intended beneficiaries are disadvantaged communities.

Subrecipient:
Activities to be performed include cultural events held at the Brothertown Cultural Center, citizen water monitoring training, land acquisition which will dramatically improve the Brothertown Tribe and rsquo;s capacity to redress the long-term environmental injustices by establishing a Conservation and Stewardship Center. The spring seasons will be used for planning citizen water monitoring, habitat suitability assessments, community events, and governance actions for the rest of the year. In the summer seasons, we will focus on Mayom monitoring, traditional community events, and training for citizen monitoring groups and project staff. The Fall focus will shift to stewardship of future generations of Mayom, with harvesting and processing community events as well as increasing collaboration with Tribal governments to create a Mayom TEK and Governance Gathering.",UNIVERSITY OF WISCONSIN SYSTEM,IRA,Primary,Awarded,0E+00,3286422,Wisconsin,44.639942,-89.73297,,,,WI,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-89.73297,44.6399419990569
252,,04-10-2024,Building Capacity for Addressing Environmental Justice Concerns in Metro East through 9 modules. Curriculum provided by U.S. EPA.,"In response to environmental justice concerns, Kappa House in partnership with Southern Illinois University Edwardsville and U.S. EPA Region 5 is undertaking efforts to support community capacity and build local leaders in the form of the Metro East Environmental Justice Academy, the first academy in Illinois and second in Region 5. The EJ Academy is a roughly 10-month long program where participants will cultivate skills to identify environmental challenges and accomplish environmental improvement goals in their communities. The academy encourages collaborative problem-solving with local government, small businesses, academic institutions, and industry to create a shared vision among different stakeholders so that all parts of a community have a voice in addressing local environmental concerns.The Academy seeks to cover subject matter such as how to apply for grants, the legal process to pass a local ordinance, training around industrial permitting processes and opportunities for community input. More than anything it s a space to collaborate, network, and create tangible change.
While EPA provides the learning objectives for the curriculum and helps plan and facilitate, the programming is tailored to meet the unique needs of the area. Sponsors invited community leaders to participate in an advisory council to inform the planning process for the Academy. Additionally, local speakers were identified to tailor the Academy to bring in local leaders and experts. The EJ Academy will result in building the capacity of existing community leaders and inspiring new leaders to act.


Activities:
Guided instruction and activities through a series of nine modules.
Field trips for perspective and knowledge of local areas of concern or resources.
Education on community involvement in federal processes.
Constructive dialogue of areas of improvement in community involvement in federal.
Opportunities for meaningful engagement with various community stakeholders and networking.
 
The Academy seeks to cover subject matter such as how to apply for grants, the legal process to pass a local ordinance, training around industrial permitting processes and opportunities for community input. The Academy will bring in speakers from federal government agencies, largely to include EPA, as an opportunity to speak to meaningful involvement in their respective programs. This may look like education on the federal permit process and how to write effective comments on federal permits. It would also serve as an opportunity to provide training on federal systems that are publicly accessible, such as ECHO and EJScreen. Providing resources and education can also give the public a better understanding of their role in EPA and rsquo;s mission.
 
In region 5 one other academy has been conducted in Dayton, Ohio. This academy has generally been considered a success with the fellows moving on to accomplish concrete change in their communities, like adding stop signs in high traffic neighborhoods, successfully receiving federal grants, and one fellow being awarded Ohio environmental activist of the year. While EPA provides the learning objectives for the curriculum and helps plan and facilitate, the programming is tailored to meet the unique needs of the area. Sponsors invite community leaders to participate in an advisory council to inform the planning process for the Academy. Advisory council members include leaders from local organizations; public schools, East Side Aligned, Jackie Joyner Kersee Foundation Food and Nutrition Center, Empire 13, United Congregations of Metro East, and several others. Local interest centers around flooding and water infrastructure, food access and equity, and what part residents can have in the industrial permitting process. The EJ Academy will result in building the capacity of existing community leaders and inspiring new leaders to act for tangible change.

Our outreach efforts have included hosting information","KAPAL Foundation, Inc.",IRA,Primary,Awarded,0E+00,50000,"St Clair County, IL",38.4702,-89.92854,,,St Clair County,IL,66.614,Financial Assistance For Community Support Activities To Address Environmental Justice Issues,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-89.9285399999999,38.4701999990808
253,,12-27-2024,"TCGM Subsequent Award - Green &amp; Healthy Homes Initiative will act as pass-through entity for EPA's EJ Thriving Communities Grantmaking Program, R3 GM","This assistance agreement provides funding under the Inflation Reduction Act (IRA) to Green and Healthy Homes Initiative, a Regional Grantmaker. This program funds community-based organizations that are advancing environmental justice initiatives in their respective communities. The program seeks to minimize the administrative and procedural burden of applying for federal grants and reduce the overall burden of managing funds throughout the subgrant process. Regional Grantmakers, as pass-through entities, are required to redistribute 80 percent of total funds awarded (i.e., 60 million) to communities through competitive and noncompetitive subgrants. A supplemental 8 million has been added to the subsequent award to be redistributed to communities through competitive and noncompetitive subgrants, totaling 48 million. There is 2 million that will be used for administrative and closeout costs, and the supplemental 2 million on the subsequent award will be used for the following: additional Quality Assurance (QA) costs, Human Subjects Review (HSR) costs, as well as additional meaningful outreach and gap filling in remote, rural and hard-to-reach areas of the country, territories, and outlying islands. 

Activities:
Activities in the Subsequent Award Phase include awarding 192 competitive subgrants and 16 noncompetitive subgrants. Applications will be reviewed by a panel of staff and Technical Assistance Provider partners on a rolling basis in 5 rounds between September 2024 and April 2025. Additional activities include reporting on program oversight, management and evaluations for measuring success of subaward program, conducting Advisory Board meetings and engaging committed partners, conducting outreach events, identifying needs of subrecipients and Program Officers to provide responsive technical assistance, developing and implementing grant application and management software. GHHI s finance and accounting team will track invoices, disbursements, and outstanding payments. Program materials developed to support the TCGM Program will be reviewed for technical accuracy and quality by the Project Director, Project Manager or other technical staff. Prior to the start of applicable activities, GHHI will submit cooperative plans for the EPA Project Officer to review regarding cap amount award policy, conflict of interest, and human subjects research. 



Outcomes:
Anticipated deliverables for the subsequent award only include distributing 72 Tier 1 subawards, 60 Tier 2 subawards, 60 Tier 3 subawards and 16 noncompetitive subawards for severely capacity-constrained community organizations, as well as items such as reporting on program oversight, management and evaluations for measuring success of subaward program and feedback from subawardees on improving efficiency and effectiveness of program. Examples of expected outcomes include changes in subrecipient capacity to manage federal funds, increase in community knowledge on how to access information on issue area and increase in partnerships between community stakeholders. The intended beneficiaries are community-based organizations (CBOs) and communities at large located in the Mid-Atlantic region and as identified in the U.S. EPA Inflation Reduction Act (IRA) Disadvantaged Communities Map. 



Subrecipient:
Core Technical Assistance (TA) Providers will provide assistance and tools to inform the efforts of grantees under the TCGM program. Core TA Providers include Children s National, Howard University, and 18 TBD TA Providers based on the needs expressed by applicants. If any TCGM grant funds are awarded for additional technical assistance services to an existing Technical Assistance Provider subawardee under the grant, GHHI will not charge additional indirect costs to the grant for that Technical Assistance Provider after the initial 25,000 dollars in total direct costs have been expended. Children s National will provide a registry of pediatric patients",GREEN & HEALTHY HOMES INITIATIVE INC,IRA,Primary,Awarded,95341401,52000000,Maryland,38.827255,-76.111626,,,,MD,66.615,Environmental Justice Thriving Communities Grantmaking,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-grantmaking-program,,01-31-2025,-76.1116259999999,38.8272549990783
